ticker,name,volume,trading_value,close,change_pct,open,high,low
000660,SK하이닉스,5054333,4678702303000,949000,6.15,892000,955000,881000
005930,삼성전자,24213880,4591033033030,190100,0.05,190000,190300,188600
034020,두산에너빌리티,12069557,1259575276050,103500,5.18,99200,106800,98400
032820,우리기술,62709422,935758403735,14850,14.67,13160,16180,12950
005935,삼성전자우,4799751,637779242305,135100,1.2,133700,135100,131200
005380,현대차,1251835,637092330500,509000,-0.78,516000,516000,504000
042660,한화오션,4322685,635988521300,149900,6.61,143000,151400,140100
001510,SK증권,319579293,609472194195,1869,18.37,2040,2045,1750
088350,한화생명,92055536,575896325665,6600,29.92,5110,6600,5050
006800,미래에셋증권,7071621,508275372750,70900,0.57,74300,74400,69300
006910,보성파워텍,39237756,478475232725,12680,29.92,9870,12680,9590
024060,흥구석유,24445804,447000047310,19040,24.36,16820,19620,16810
009150,삼성전기,1178359,442427592500,377000,5.31,357000,386000,354000
272210,한화시스템,3701380,433662783450,116500,9.49,120300,121800,113400
130660,한전산업,16001639,418107439425,25550,12.56,22800,27800,22150
009830,한화솔루션,7659000,415276343300,53000,-9.4,56500,56900,52500
003530,한화투자증권,42971711,412696370645,9300,-2.72,10000,10300,9010
086520,에코프로,2255550,387211992850,171300,-0.58,175500,175600,168400
187660,현대ADM,33584354,314377907385,9280,5.57,9310,10390,8100
034220,LG디스플레이,22403271,300833586485,13310,8.39,12790,14190,12660
052690,한전기술,1478374,244074867450,163300,7.72,152200,173500,150900
066570,LG전자,1906702,235950644350,123600,2.06,120300,126100,120300
010170,대한광통신,57335353,235397278426,4110,14.97,3650,4430,3505
018880,한온시스템,45189429,227614801710,4945,-6.17,5330,5330,4945
105560,KB금융,1321785,222953662300,168800,1.38,167400,169700,167100
347700,스피어,4518182,217507792325,45650,3.51,50000,54000,45050
090710,휴림로봇,14963347,215753128540,14290,2.07,13960,15120,13770
009290,광동제약,20357725,205974943860,10400,30.0,9990,10400,9150
006220,제주은행,11566332,203887024645,16820,6.52,15790,18840,15620
004090,한국석유,10731495,201111702460,18840,15.23,17190,20200,16950
000370,한화손해보험,22041168,198468259825,9300,25.17,7580,9540,7580
000720,현대건설,1508112,193469997950,128300,3.22,124500,132100,122500
475150,SK이터닉스,6026936,192293632550,30050,5.81,31500,34150,29800
000270,기아,1074310,183388401200,171800,1.06,170100,172700,168700
005940,NH투자증권,4574149,181654854350,39200,6.67,42450,42600,38100
015760,한국전력,2851514,180490343900,63000,1.45,62100,64300,61700
0015N0,아로마티카,11863524,176932601505,15050,12.9,13360,15690,13280
452260,한화갤러리아,57678846,170312995943,2930,12.69,2610,3180,2575
001440,대한전선,5095342,168434649675,32900,0.77,32650,33700,32000
105840,우진,5889032,167241309775,27300,3.41,26450,30100,25800
047040,대우건설,19986146,157343206050,7800,-1.64,7860,8260,7570
055550,신한지주,1540884,156503430200,102000,1.69,101000,102600,100200
086790,하나금융지주,1186291,154532944650,131300,3.96,127400,131400,127100
047050,포스코인터내셔널,2049003,153601674400,75300,8.82,69800,78600,69200
096770,SK이노베이션,1148636,145602238500,127600,7.59,121700,128700,121500
016360,삼성증권,1251243,143394782050,114500,2.69,119300,119400,110600
097230,HJ중공업,5338008,142705931750,26850,5.29,25800,27500,25100
437730,삼현,2875081,141826765100,49150,-6.38,53300,53400,49000
080220,제주반도체,3068623,140451594775,45700,-2.04,46700,47600,44600
004020,현대제철,3651894,140008208250,38950,11.76,36000,40300,35950
010140,삼성중공업,4746560,138548342700,29500,2.08,29250,29550,28650
038500,삼표시멘트,9359890,137128098610,14510,3.05,14130,15400,13970
010820,퍼스텍,19337531,121533903890,6720,26.08,5360,6870,5360
125020,티씨머티리얼즈,21302440,118488022370,5570,5.29,5250,6060,5090
082640,동양생명,13294447,115193521255,8480,15.85,7350,9150,7350
035720,카카오,1950669,113603376000,57900,0.52,57800,58900,57700
043260,성호전자,4882285,113005852325,23000,9.0,21200,25400,21200
003280,흥아해운,54775381,106664090225,1938,4.14,1950,2035,1823
017670,SK텔레콤,1296944,105304120900,80800,-0.86,82100,82300,80500
046120,오르비텍,15019809,104959312235,6980,11.32,6280,7600,6140
